account.id,total_deposited,total_borrowed,total_withdrawn,total_repaid,wallet_age,time_since_last_tx,liquidatee_count,liquidator_count,total_liquidated,liquidation_risk_ratio,credit_score
0xbd086f196c010be4d487a6cd54dee584439a54ac,31.1928570052504,0.0,0.0,0.0,2119.5928587962962,2066.747071759259,0.0,0.0,0.0,0.0,76.91058018571599
0x3c673dd35bfea5267c4f5598a8d441fb13f8475a,4460964.64719629,0.0,200262.85154122248,0.0,2132.0941203703705,2022.2078125,0.0,0.0,0.0,0.0,76.8958770108799
0x139674aee375551fe3b972f69afb84503791aa44,108.22278090954119,0.0,0.0,0.0,2119.1157060185187,2066.34087962963,0.0,0.0,0.0,0.0,76.89525832310245
0xd7079fddf87afc3d33b231dddfb7a9d84e91c12e,1536.2764334347848,0.0,0.0,0.0,2119.706053240741,2065.8761342592593,0.0,0.0,0.0,0.0,76.8950444942895
0x041dedfec783d8d6d8bd4f81cb3675042151184d,255.15122005105997,0.0,0.0,0.0,2118.7429398148147,2065.9669907407406,0.0,0.0,0.0,0.0,76.88468943471432
0xdc27620f4e2e3728c2a3d209f748f82eb1e99031,3.053796420405714,0.0,0.0,0.0,2118.449178240741,2065.674351851852,0.0,0.0,0.0,0.0,76.87568147655789
0xbca7a1e8fe84b826b138680594e27886989be0d5,3.985028546536627,0.0,0.0,0.0,2118.1483796296297,2065.373553240741,0.0,0.0,0.0,0.0,76.86680524086186
0xae9423ded18450a7b16d08b27f96d6c47173f013,972.4942817249429,0.0,0.0,0.0,2125.3600810185185,2057.2776157407407,0.0,0.0,0.0,0.0,76.85301883458645
0x5b5046bcfd60169f320b998132c4a9c89d7463d9,100.22089290448318,0.0,0.0,0.0,2116.9649305555554,2064.070277777778,0.0,0.0,0.0,0.0,76.83017418134934
0x4753141445054f3f4dcda3ae7477758c0078377b,3753.9941003320973,0.0,0.0,0.0,2116.3137384259257,2063.538912037037,0.0,0.0,0.0,0.0,76.8132030148158
0xd1929ff028686a33cc436b2a82d71446bbeea1a1,4464.698833149435,0.0,0.0,0.0,2115.9602893518518,2063.185462962963,0.0,0.0,0.0,0.0,76.80287898343342
0xd87c5429eb9542e56ed4b96e62f76a266c4f8ac7,1537.081552560427,0.0,0.0,0.0,2115.5886921296296,2062.8138657407408,0.0,0.0,0.0,0.0,76.79258863909288
0xeee18b5d3727335a7cbc7c22a390dd6c541d813e,75.59207097029,0.0,0.0,0.0,2115.528298611111,2062.753472222222,0.0,0.0,0.0,0.0,76.78998923887691
0xfacafb5baefcd4cf95a72ca88bcefc4ba12a0aa7,170.0669875350809,0.0,0.0,0.0,2119.20599537037,2058.0499421296295,0.0,0.0,0.0,0.0,76.78643852404862
0x8e111ebf4e6cf4a183f85f0b960751b178a3cbf2,585.8179689763012,0.0,0.0,0.0,2115.7497453703704,2061.516886574074,0.0,0.0,0.0,0.0,76.77969308648012
0x47d9486c28daa156c7bf345a53dc545c9be21755,5714.275898668443,0.0,0.0,0.0,2114.708287037037,2061.933460648148,0.0,0.0,0.0,0.0,76.7668689761334
0xb288fee9ea6f3519244c01c4005cbbbb9f9ff419,32.66049863297369,0.0,0.0,0.0,2116.444386574074,2059.883888888889,0.0,0.0,0.0,0.0,76.76290063010354
0xaf95fe44046b4f4c9b716140e236b22a6cb217f8,6.688100688713231,0.0,0.0,0.0,2113.935601851852,2061.160775462963,0.0,0.0,0.0,0.0,76.7441454970082
0xb2a837676c502571ae27573f4ee9be084d533a17,12160.003032053042,0.0,0.0,0.0,2113.6839814814816,2059.998159722222,0.0,0.0,0.0,0.0,76.72453380542524
0x2456e68a468638aff4bc6656ef312ad28d490c15,3.3839245530608197,0.0,0.0,0.0,2113.310925925926,2060.4173032407407,0.0,0.0,0.0,0.0,76.7236795210297
0x971d583176871e4aea22eca205ef87636c6d3af6,0.500958604475265,0.0,0.0,0.0,2113.130486111111,2060.3556597222223,0.0,0.0,0.0,0.0,76.71997539077265
0xe2f35b376461e7fdd2f2e45248e4c3cd9626a933,4277.160756789464,0.0,4322.375130324648,0.0,2131.7321412037036,2037.9769675925927,0.0,0.0,0.0,0.0,76.69220968021392
0xe7cb2d2ae89cf98aeb715233b392ab5df90c9bfc,2.151622587909757,0.0,0.0,0.0,2111.6251041666665,2058.8502777777776,0.0,0.0,0.0,0.0,76.67567346333821
0xc7a26276b1d69ad69f9d8e02d37736852d2a2c9a,110.20383139221423,0.0,0.0,0.0,2111.529988425926,2058.7505439814813,0.0,0.0,0.0,0.0,76.67307670562654
0x1af7292d16c3f0e11633b11ed033fcddb0f83226,185.01524824406414,0.0,0.0,0.0,2111.522465277778,2058.7467939814815,0.0,0.0,0.0,0.0,76.67298404320995
0x2c7028ea5246d7bc33e22cb65486b07f6340b4d1,2.68287791838807,0.0,0.0,0.0,2111.410023148148,2058.635196759259,0.0,0.0,0.0,0.0,76.66885540015564
0xf577ca2079e8690ec71e12f9997c60e89d2fe969,447.3614433832778,0.0,456.0187010087257,0.0,2130.024872685185,2037.762650462963,0.0,0.0,0.0,0.0,76.66869968701106
0x43b8e7de8212e6e1a4954405b665d482da1289bd,1081.8429170226473,0.0,0.0,0.0,2111.2850694444446,2058.5022222222224,0.0,0.0,0.0,0.0,76.66589267579884
0xf5afea4d587ba47e43062215263328275ade995d,74.55789445120782,0.0,0.0,0.0,2110.7472916666666,2057.9724652777777,0.0,0.0,0.0,0.0,76.64966701858941
